placenames	frequency
Israel	49
South Africa	8
The Hague	2
the Gaza Strip	5
Gaza	55
Khan Younis	2
Beirut	9
West Beirut	9
Lebanon	17
Beirut Hamra	1
Hamra	2
Jordan	3
Palestine	5
US	28
East Beirut	1
Al Maniya	1
Bethlehem	1
WestBank	1
Rafah	1
Deir el-Balah	1
Nuseirat	1
Bureij	1
Gaza City	1
the United States	2
Belgium	1
Dahiyeh	1
West Bank	1
United States	2
Iran	8
Gaza Strip	1
Arura	1
the West Bank	1
Ramallah	2
Deir Qaddis	1
China	4
India	1
Iraq	1
Yemen	1
Syria	8
Russia	1
Myanmar	1
The United States	1
Washington	1
Egypt	1
Philadelphi	1
London	1
Damascus	2
Britain	1
Kanaker	1
Yaroun	1
Sarit	1
Tel Aviv	1
Tehran	1
Aleppo	1
Baghdad	1
